Date,PnL
2016-10-02,84097.38
2016-10-03,84095.09
2016-10-04,84619.29
2016-10-05,84620.76
2016-10-06,84600.83
2016-10-07,84394.90
2016-10-09,84394.90
2016-10-10,84488.34
2016-10-11,84699.80
2016-10-12,84919.41
2016-10-13,85194.26
2016-10-14,85303.10
2016-10-16,85303.10
2016-10-17,85329.22
2016-10-18,85448.89
2016-10-19,85509.99
2016-10-20,85692.23
2016-10-21,85976.62
2016-10-23,85973.85
2016-10-24,85808.94
2016-10-25,86294.73
2016-10-26,85946.74
2016-10-27,85618.03
2016-10-28,85654.51
2016-10-30,85654.51
2016-10-31,85879.01
2016-11-01,85362.42
2016-11-02,85100.02
2016-11-03,85323.75
2016-11-04,85180.26
2016-11-06,85166.83
2016-11-07,85315.16
2016-11-08,85334.93
2016-11-09,88836.73
2016-11-10,89052.60
2016-11-11,88889.65
2016-11-13,88843.64
2016-11-14,88945.08
2016-11-15,89299.96
2016-11-16,89415.15
2016-11-17,89373.68
2016-11-18,89497.18
2016-11-20,89472.88
2016-11-21,89762.42
2016-11-22,89906.75
2016-11-23,90619.75
2016-11-24,90430.61
2016-11-25,90381.91
2016-11-27,90381.63
2016-11-28,90782.85
2016-11-29,90904.70
2016-11-30,90873.10
2016-12-01,90830.33
2016-12-02,91090.79
2016-12-04,90847.27
2016-12-05,90458.33
2016-12-06,90298.70
2016-12-07,90328.81
2016-12-08,91142.20
2016-12-09,91563.10
2016-12-11,91625.20
2016-12-12,91821.67
2016-12-13,91654.74
2016-12-14,91520.14
2016-12-15,91777.41
2016-12-16,91802.92
2016-12-18,91747.95
2016-12-19,91569.32
2016-12-20,91770.14
2016-12-21,91550.72
2016-12-22,91321.59
2016-12-23,91174.28
2016-12-26,91182.44
2016-12-27,91195.53
2016-12-28,91737.53
2016-12-29,91665.46
2016-12-30,91375.51
2017-01-01,91398.36
2017-01-02,91499.31
2017-01-03,92074.47
2017-01-04,91833.80
2017-01-05,91810.35
2017-01-06,91728.24
2017-01-08,91714.36
2017-01-09,91529.71
2017-01-10,91551.83
2017-01-11,92593.88
2017-01-12,92183.63
2017-01-13,92240.49
2017-01-15,91967.73
2017-01-16,92039.57
2017-01-17,91476.99
2017-01-18,91440.19
2017-01-19,92000.28
2017-01-20,92011.17
2017-01-22,92075.89
2017-01-23,92260.28
2017-01-24,92352.09
2017-01-25,92276.64
2017-01-26,92827.83
2017-01-27,92675.96
2017-01-29,92722.62
2017-01-30,92935.17
2017-01-31,92390.63
2017-02-01,92458.69
2017-02-02,92205.91
2017-02-03,92251.09
2017-02-05,92230.97
2017-02-06,92207.41
